combo,weight,ev
AdKdQh8h,1,0.28
AcKcQs8s,1,0.28
AcKcQh8h,1,0.28
AcKcQd8d,1,0.28
AsKsQh7h,1,0.26
AsKsQd7d,1,0.26
AsKsQc7c,1,0.26
AhKhQd7d,1,0.26
AhKhQc7c,1,0.26
AhKhQs7s,1,0.26
AdKdQc7c,1,0.26
AdKdQs7s,1,0.26
AdKdQh7h,1,0.26
AcKcQs7s,1,0.26
AcKcQh7h,1,0.26
AcKcQd7d,1,0.26
AsKsQh6h,1,0.26
AsKsQd6d,1,0.26
AsKsQc6c,1,0.26
AhKhQd6d,1,0.26
AhKhQc6c,1,0.26
AhKhQs6s,1,0.26
AdKdQc6c,1,0.26
AdKdQs6s,1,0.26
AdKdQh6h,1,0.26
AcKcQs6s,1,0.26
AcKcQh6h,1,0.26
AcKcQd6d,1,0.26
AsKsQh5h,1,0.4
AsKsQd5d,1,0.4
AsKsQc5c,1,0.4
AhKhQd5d,1,0.4
AhKhQc5c,1,0.4
AhKhQs5s,1,0.4
AdKdQc5c,1,0.4
AdKdQs5s,1,0.4
AdKdQh5h,1,0.4
AcKcQs5s,1,0.4
AcKcQh5h,1,0.4
AcKcQd5d,1,0.4
AsKsQh4h,1,0.41
AsKsQd4d,1,0.41
AsKsQc4c,1,0.41
AhKhQd4d,1,0.41
AhKhQc4c,1,0.41
AhKhQs4s,1,0.41
AdKdQc4c,1,0.41
AdKdQs4s,1,0.41
AdKdQh4h,1,0.41
AcKcQs4s,1,0.41
AcKcQh4h,1,0.41
AcKcQd4d,1,0.41
AsKsQh3h,1,0.4
AsKsQd3d,1,0.4
AsKsQc3c,1,0.4
AhKhQd3d,1,0.4
AhKhQc3c,1,0.4
AhKhQs3s,1,0.4
AdKdQc3c,1,0.4
AdKdQs3s,1,0.4
AdKdQh3h,1,0.4
AcKcQs3s,1,0.4
AcKcQh3h,1,0.4
AcKcQd3d,1,0.4
AsKsQh2h,1,0.35
AsKsQd2d,1,0.35
AsKsQc2c,1,0.35
AhKhQd2d,1,0.35
AhKhQc2c,1,0.35
AhKhQs2s,1,0.35
AdKdQc2c,1,0.35
AdKdQs2s,1,0.35
AdKdQh2h,1,0.35
AcKcQs2s,1,0.35
AcKcQh2h,1,0.35
AcKcQd2d,1,0.35
